cnpj,nome,situação,link
41.394.201/0001-06,SANDRA LYRIO COMERCIO LTDA,Ativa,http://cnpj.biz/41.394.201/0001-06,Ativa
43.852.739/0001-34,SIDE STRIPE LTDA,Ativa,http://cnpj.biz/43.852.739/0001-34,Ativa
42.046.746/0001-86,HPA COMERCIO DE CARNES LTDA,Ativa,http://cnpj.biz/42.046.746/0001-86,Ativa
42.223.218/0001-55,CHELSEA COMERCIO DE CONFECCOES LTDA,Ativa,http://cnpj.biz/42.223.218/0001-55,Ativa
43.902.640/0001-08,COMERCIO ATACADISTA SG LTDA,Ativa,http://cnpj.biz/43.902.640/0001-08,Ativa
01.687.411/0005-93,KAZULLO INDUSTRIA E COMERCIO DE CONFECCOES LTDA,Ativa,http://cnpj.biz/01.687.411/0005-93,Ativa
42.000.771/0001-29,LA VIE FRAGRANCIAS E PRESENTES LTDA,Ativa,http://cnpj.biz/42.000.771/0001-29,Ativa
44.002.826/0001-65,OLIVEIRA DOMINHAKI COMERCIO E SERVICOS LTDA,Ativa,http://cnpj.biz/44.002.826/0001-65,----,
41.809.495/0001-81,NERO - COMERCIO DE VESTUARIO LTDA,Ativa,http://cnpj.biz/41.809.495/0001-81,--,
10.285.590/0348-51,GRUPO DE MODA SOMA SA,Ativa,http://cnpj.biz/10.285.590/0348-51,--,
21.636.358/0020-48,DS COMERCIO DE PNEUS LTDA,Ativa,http://cnpj.biz/21.636.358/0020-48,--,
43.117.161/0001-72,M G Z BARROS MGZ BARROS LTDA,Ativa,http://cnpj.biz/43.117.161/0001-72,--,
44.223.026/0001-74,CONERGE 004 FAAD ENERGY PLACAS FOTOVOLTAICAS SPE LTDA,Ativa,http://cnpj.biz/44.223.026/0001-74,--,
44.352.266/0001-79,TRIX MOTORS VEICULOS LTDA,Ativa,http://cnpj.biz/44.352.266/0001-79,Ativa
43.277.501/0001-22,S RIBEIRO,Ativa,http://cnpj.biz/43.277.501/0001-22,Ativa
41.697.179/0001-65,ISIQUIEL DIAS DA SILVA - COMERCIO DE SUCATAS LTDA,Ativa,http://cnpj.biz/41.697.179/0001-65,Ativa
42.777.646/0001-20,EMITTEX COMERCIO VAREJISTA LTDA,Ativa,http://cnpj.biz/42.777.646/0001-20,Ativa
41.866.612/0001-49,SOBERANA JOIAS LTDA,Ativa,http://cnpj.biz/41.866.612/0001-49,
42.712.122/0001-50,P E DMENGEON HORTIFRUTIGRANJEIRO,Ativa,http://cnpj.biz/42.712.122/0001-50,
43.157.918/0001-51,STAR MOTOS COMERCIO DE MOTOS LTDA,Ativa,http://cnpj.biz/43.157.918/0001-51,
43.985.889/0001-16,FRANCIELLE GONCALVES SANTOS LTDA,Ativa,http://cnpj.biz/43.985.889/0001-16,
43.995.593/0001-86,M I DISTRIBUIDORA DE BEBIDAS LTDA,Ativa,http://cnpj.biz/43.995.593/0001-86,
44.526.665/0001-09,4K PREMIUM COMERCIO DE ROUPAS LTDA,Ativa,http://cnpj.biz/44.526.665/0001-09,
44.414.413/0001-98,VINICIUS CUBAS SCHRAIBER DISTRIBUIDORA BEBIDAS,Ativa,http://cnpj.biz/44.414.413/0001-98,
43.249.355/0001-21,COQUEIROS ICE COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,Ativa,http://cnpj.biz/43.249.355/0001-21,
43.581.288/0001-48,FRANCIELLE DE ANDRADE LTDA,Ativa,http://cnpj.biz/43.581.288/0001-48,
42.313.849/0001-65,VALOR FERTIL COMERCIO DE ACIDO HUMICO E FULVICO LTDA,Ativa,http://cnpj.biz/42.313.849/0001-65,
43.056.672/0001-21,VOLKS ANTIGOS ACESSORIOS LTDA,Ativa,http://cnpj.biz/43.056.672/0001-21,
43.383.862/0001-53,JJ COMERCIO DE MOVEIS LTDA,Ativa,http://cnpj.biz/43.383.862/0001-53,
43.307.900/0001-99,A DA SILVA PEREIRA BEBIDAS,Ativa,http://cnpj.biz/43.307.900/0001-99,
42.835.886/0001-33,MADE IN BRAZIL COMERCIO E REPRESENTACOES LTDA,Ativa,http://cnpj.biz/42.835.886/0001-33,
43.252.916/0001-41,VITOR LUIZ DA S CAES COMERCIO DE MATERIAIS CONSTRUCAO,Ativa,http://cnpj.biz/43.252.916/0001-41,
43.662.565/0001-47,DOIS IRMAOS COMERCIO DE FRUTAS E VERDURAS LTDA,Ativa,http://cnpj.biz/43.662.565/0001-47,
43.804.920/0001-75,CHARM PRATAS PERSONALIZADAS LTDA,Ativa,http://cnpj.biz/43.804.920/0001-75,
44.155.051/0001-68,LUCAS GOSTENSKI BARBOSA LTDA,Ativa,http://cnpj.biz/44.155.051/0001-68,
44.096.111/0001-19,SALES BIKE CENTER LTDA,Ativa,http://cnpj.biz/44.096.111/0001-19,
44.164.637/0001-99,R A CALCADOS LTDA,Ativa,http://cnpj.biz/44.164.637/0001-99,
